Aliases,Description,Attribution (If any)
acidbox,Targeted malware that exploits VirtualBox,
artradownloader/artra/bitterartra/bitartra,Downloader of bitterrat,bitter
egregor/egregorransom,"Ransomware, variant of sekhmet and maze",
redaman,Banking trojan,
ryuk/ryukran/ruyk,Ransomware that targets enterprise environments,wizardspider
valak,"Downloader of ursnif,icedid",ta551
icedid,"Banking trojan, malware downloader",
pushdo,Downloader of cutwail,
zebrocy,Backdoor with variants written in multiple languages,sofacy/sednit/fancybear/apt28
cannon,Exfiltrate system information via email,sofacy/sednit/fancybear/apt28
stonedrill/stoned/dropshot,Disk wiper with similarities to Shamoon,
nanocore/noancooe/nancrat/nanoco,RAT with plugin framework,
netwire/netwiredrc/netwired/wirenet/netweird,Commercial RAT,
shapeshift,Disk wiper with ties to Iranian threat groups,
turnedup/notestuk,Backdoor with ties to Iranian threat groups,
roguerobin,Trojan that uses Google Drive for C&C,darkhydrus
retriever,.NET downloader,magichound campaign
leash,IRC Bot,magichound campaign
mpkbot,IRC bot similar to mpk trojan attributed to rocketkitten,magichound campaign
powerstats/powermud,Multi-stage backdoor,muddywater/seedworm/statickittenhttps://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/seedworm-espionage-group
sharpstats,.NET backdoor,muddywater/seedworm/statickitten
delphstats/delpstats,Delphi backdoor,muddywater/seedworm/statickitten
ismagent,Variant of ismdoor that uses DNS tunneling for C&C,oilrig/apt34/helixkitten
isminjector/isminject,Injects ismagent into remote process,oilrig/apt34/helixkitten
oopsie,trojan delivered via threedollars document,oilrig/apt34/helixkitten
rgdoor,IIS backdoor,oilrig/apt34/helixkitten
foudre,"Variant of infy, infostealer and keylogger",princeofpersia campaign
rarog/raroger,Trojan that mines monero cryptocurrency,
samsam/samas/samsa/ransmsam/crypsam/samsamcrypt,Ransomware with multiple extensions,
rc2fm,Backdoor that can exfiltrate documents and photos,invisimole
comrat/chinch,Variant / updated version of agentbtz,turla/snake/venomousbear
polyglotduke,Uses social media sites for C&C,dukes/apt29/cozyduke/cozybear
miniduke,Small backdoor dropped by polyglotduke or regduke,dukes/apt29/cozyduke/cozybear
fatduke,Sophisticated backdoor dropped by miniduke,dukes/apt29/cozyduke/cozybear
poisonplug/shadowpad/bairlay,Modular backdoor,winnti group/apt41
portreuse/lowkey,Backdoor that injects into a process listening on a TCP port,winnti group/apt41
winnti/highnoon/rbdoor/ribdoor,RAT with rootkit functionalty,winnti group/apt41
attor,"Modular, targeted cyberespionage platform targeting Russia",
ketrican,Backdoor dropped by okrum,ke3chang group/apt15
ratvermin/vermin/vermrat,.NET backdoor,
sobaken,"RAT, variant of quasar",
quasar/quasarrat/cinarat,Open-source RAT,
gazer,Backdoor that uses custom encryption,turla/snake/venomousbear
seduploader,Reconnaissance malware with droper and payload components,sofacy/sednit/fancybear/apt28
xagent/chopstick/splm,Modular backdoor targeting multiple operating systems,sofacy/sednit/fancybear/apt28
sedreco/azzy,Modular backdoor,sofacy/sednit/fancybear/apt28
xtunnel/xaps,Network proxy tool,sofacy/sednit/fancybear/apt28
downdelph/delphacy/delphocy,Lightweight Delphi downloader sometimes deployed with bootkit,sofacy/sednit/fancybear/apt28
phantomnet/smanager,Backdoor used as part of a supply-chain attack in Vietnam,operation signsight
plugx/korplug/gulpix/sogu,Notable RAT used in multiple target attack campaigns,
crutch,Backdoor that exfiltrates files to Dropbox,turla/snake/venomousbear
xddown,Downloads additional modules used by xdspy APT group,xdspy
mekotio/melcoz,Banking trojan with a module for stealing bitcoin wallets,
pipemon,Modular backdoor,winnti group/apt41
mikroceen,RAT with similarities to microcin and byeby malware,
ramsay,Cyberespionage toolkit that works in air-gapped networks,
netflash,.NET downloader,turla/snake/venomousbear
skipper,Backdoor that can download carbon,turla/snake/venomousbear
deprimon,Modular downloader with novel installation technique,
balkandoor/balkandoor2/balkandoor3,Simple backdoor targeting the Balkans,
varenyky,Spambot related to sextortion campaign targeting France,
plead/pleed,backdoor targeting taiwan,blacktech/palmerworm
gootkit/otlard,Multi-stage banking trojan with links to danabot,
trickbot/trickster/totbrick/trickybot/trick/hptrickbot/trickbotmodule/trickbt,Modular banking trojan that steals credentials and sensitive info,
ursnif/gozi/goziisfb/isfb/dreambot/hpursnif/wastenif,Banking trojan,
emotet/emotetu/emotetc/emotetcrypt/emotetent/emotetedcryptc,Banking trojan known to download trickbot and ryuk,
kasidet/neutrino/mwzlesson/casdet,DDoS bot,
sathurbot,"Backdoor known to download boaxxe, kovter, and fleercivet",
